Keyword,Type,Description
kmesh,I,"Dimensions of the uniform interpolation \\(k\\)-mesh (one or three integers)"
kmesh_spacing,R,"Minimum spacing between \\(k\\) points in Å\\(^{-1}\\)"
effective_model,L,"Start from the operators in the Wannier basis in the `seedname_*_R.dat` files, rather than from a Wannierisation run"
wanint_kpoint_file,L,"Read the interpolation \\(k\\) points and their weights from the file `kpoint.dat`"
adpt_smr,L,"Use adaptive smearing"
adpt_smr_fac,R,"Adaptive smearing prefactor"
adpt_smr_max,P,"Maximum allowed value for the adaptive energy smearing (eV)"
smr_type,S,"Analytical form used for the broadened delta function"
smr_fixed_en_width,P,"Energy smearing (if non-adaptive) (eV)"
smr_max_arg,R,"Cut-off on the argument of the broadened delta function"
num_elec_per_state,I,"Number of electrons per state"
scissors_shift,P,"Scissors shift applied to the conduction bands (deprecated) (eV)"
num_valence_bands,I,"Number of valence bands"
spin_decomp,L,"Decompose various properties into up-spin, down-spin, and possibly spin-flip parts"
spin_axis_polar,P,"Polar angle of the spin quantization axis (degrees)"
spin_axis_azimuth,P,"Azimuthal angle of the spin quantization axis (degrees)"
spin_moment,L,"Determines whether to evaluate the spin magnetic moment per cell"
spin_kmesh,I,"Dimensions of the uniform interpolation \\(k\\)-mesh used for the spin moment (one or three integers)"
spin_kmesh_spacing,R,"Minimum spacing between \\(k\\) points used for the spin moment, in Å\\(^{-1}\\)"
uHu_formatted,L,"Read a formatted `seedname.uHu` file"
spn_formatted,L,"Read a formatted `seedname.spn` file"
berry_curv_unit,S,"Unit of Berry curvature"
transl_inv,L,"Use Marzari-Vanderbilt formula for wannier centres"
transl_inv_full,L,"Use translationally-invariant formula for position-related matrix elements"
use_degen_pert,L,"Use degenerate perturbation theory to evaluate the band gradients"
degen_thr,P,"Energy difference below which two bands are treated as degenerate by `use_degen_pert` (eV)"
