 written on 26Oct2020 at 15:32:52 
  -1.61399000000000       0.000000000000000E+000   1.61399000000000     
  0.000000000000000E+000   1.61399000000000        1.61399000000000     
  -1.61399000000000        1.61399000000000       0.000000000000000E+000
           4
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    1    1    0.73784761E-02 -0.49929669E-09
    2    1   -0.85402675E-02  0.12709559E-08
    3    1   -0.85402695E-02  0.93771123E-09
    4    1   -0.85402707E-02  0.12263688E-08
    1    2   -0.85402715E-02 -0.33803444E-09
    2    2    0.73784758E-02  0.18091176E-09
    3    2   -0.85402687E-02  0.31269723E-09
    4    2   -0.85402687E-02 -0.92154234E-09
    1    3   -0.85402694E-02 -0.53174936E-09
    2    3   -0.85402722E-02  0.71506703E-10
    3    3    0.73784754E-02 -0.38338679E-09
    4    3   -0.85402680E-02 -0.46480626E-09
    1    4   -0.85402680E-02 -0.63100600E-09
    2    4   -0.85402707E-02 -0.79178712E-09
    3    4   -0.85402717E-02  0.10212954E-09
    4    4    0.73784759E-02  0.70174891E-09

   -2   -2    2
    1    1    0.11647286E-01  0.40116930E-16
    2    1   -0.35022555E-02  0.26835396E-09
    3    1   -0.35022550E-02 -0.13625372E-08
    4    1   -0.35022547E-02  0.14396461E-09
    1    2   -0.35022555E-02 -0.26835395E-09
    2    2    0.11647286E-01  0.13272815E-16
    3    2   -0.35022549E-02  0.59180080E-09
    4    2   -0.35022548E-02  0.85765628E-09
    1    3   -0.35022550E-02  0.13625372E-08
    2    3   -0.35022549E-02 -0.59180082E-09
    3    3    0.11647286E-01 -0.31304888E-16
    4    3   -0.35022557E-02 -0.12585162E-09
    1    4   -0.35022547E-02 -0.14396460E-09
    2    4   -0.35022548E-02 -0.85765629E-09
    3    4   -0.35022557E-02  0.12585165E-09
    4    4    0.11647286E-01  0.11887016E-16

   -2   -1    1
    1    1    0.15749602E-01 -0.21349127E-09
    2    1   -0.19882999E-02 -0.14334499E-09
    3    1   -0.79546425E-02 -0.29873936E-09
    4    1    0.15396627E-02  0.28458016E-09
    1    2   -0.79546433E-02  0.12702719E-08
    2    2    0.12409573E-01 -0.90928479E-10
    3    2   -0.35022557E-02 -0.62971455E-10
    4    2   -0.79546416E-02  0.21021327E-09
    1    3   -0.19883000E-02  0.43921299E-09
    2    3   -0.40231924E-02 -0.23227904E-09
    3    3    0.12409574E-01  0.37393133E-09
    4    3   -0.19882998E-02  0.11556189E-08
    1    4    0.15396626E-02 -0.95232218E-09
    2    4   -0.19883010E-02 -0.14701969E-08
    3    4   -0.79546416E-02 -0.69079080E-10
    4    4    0.15749602E-01 -0.69507028E-10

   -2   -1    2
    1    1    0.12409574E-01  0.17578124E-09
    2    1   -0.79546402E-02 -0.58077855E-10
