 written on 24Nov2020 at 11:41:47 
  -1.61399000000000       0.000000000000000E+000   1.61399000000000     
  0.000000000000000E+000   1.61399000000000        1.61399000000000     
  -1.61399000000000        1.61399000000000       0.000000000000000E+000
           4
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    1    1    0.73784761E-02 -0.49930496E-09
    2    1   -0.85402700E-02  0.12709103E-08
    3    1   -0.85402721E-02  0.93766329E-09
    4    1   -0.85402732E-02  0.12262535E-08
    1    2   -0.85402740E-02 -0.33799559E-09
    2    2    0.73784758E-02  0.18088067E-09
    3    2   -0.85402712E-02  0.31270503E-09
    4    2   -0.85402712E-02 -0.92166723E-09
    1    3   -0.85402719E-02 -0.53171342E-09
    2    3   -0.85402747E-02  0.71596590E-10
    3    3    0.73784754E-02 -0.38338940E-09
    4    3   -0.85402705E-02 -0.46481609E-09
    1    4   -0.85402705E-02 -0.63090157E-09
    2    4   -0.85402733E-02 -0.79167715E-09
    3    4   -0.85402742E-02  0.10222963E-09
    4    4    0.73784759E-02  0.70178188E-09

   -2   -2    2
    1    1    0.11647286E-01 -0.17481309E-16
    2    1   -0.35022562E-02  0.26662492E-09
    3    1   -0.35022557E-02 -0.13640334E-08
    4    1   -0.35022554E-02  0.14873152E-09
    1    2   -0.35022562E-02 -0.26662494E-09
    2    2    0.11647286E-01  0.64575799E-16
    3    2   -0.35022556E-02  0.59006986E-09
    4    2   -0.35022555E-02  0.86230901E-09
    1    3   -0.35022557E-02  0.13640334E-08
    2    3   -0.35022556E-02 -0.59006992E-09
    3    3    0.11647286E-01  0.28217865E-16
    4    3   -0.35022564E-02 -0.11935483E-09
    1    4   -0.35022554E-02 -0.14873151E-09
    2    4   -0.35022555E-02 -0.86230903E-09
    3    4   -0.35022564E-02  0.11935487E-09
    4    4    0.11647286E-01 -0.37362973E-16

   -2   -1    1
    1    1    0.15749602E-01 -0.21521192E-09
    2    1   -0.19883008E-02 -0.14200652E-09
    3    1   -0.79546417E-02 -0.30174827E-09
    4    1    0.15396630E-02  0.28559031E-09
    1    2   -0.79546425E-02  0.12662595E-08
    2    2    0.12409574E-01 -0.89970020E-10
    3    2   -0.35022564E-02 -0.65134242E-10
    4    2   -0.79546408E-02  0.21352929E-09
    1    3   -0.19883009E-02  0.43968828E-09
    2    3   -0.40231872E-02 -0.23091975E-09
    3    3    0.12409575E-01  0.37297458E-09
    4    3   -0.19883007E-02  0.11541644E-08
    1    4    0.15396630E-02 -0.95293377E-09
    2    4   -0.19883019E-02 -0.14690303E-08
    3    4   -0.79546408E-02 -0.69267488E-10
    4    4    0.15749601E-01 -0.67785097E-10

   -2   -1    2
    1    1    0.12409574E-01  0.17379370E-09
    2    1   -0.79546394E-02 -0.57679611E-10
    3    1   -0.35022556E-02 -0.49633454E-09
    4    1   -0.79546411E-02 -0.55327015E-09
    1    2   -0.19883018E-02 -0.49419027E-09
    2    2    0.15749602E-01 -0.39494050E-09
    3    2   -0.79546422E-02  0.37221989E-10
    4    2    0.15396644E-02  0.69269181E-09
    1    3   -0.40231886E-02 -0.45372102E-09
    2    3   -0.19883010E-02  0.69513742E-10
    3    3    0.12409574E-01  0.25851882E-09
    4    3   -0.19882999E-02  0.10846226E-08
    1    4   -0.19883002E-02 -0.21177827E-08
    2    4    0.15396621E-02 -0.42917356E-09
    3    4   -0.79546408E-02 -0.49037785E-09
    4    4    0.15749601E-01 -0.37399084E-10

   -2    0    0
    1    1    0.17684994E+00  0.56377582E-15
    2    1   -0.21538153E-01 -0.19281590E-08
    3    1   -0.21538153E-01 -0.38277267E-09
