 #the C tensor -- Eq. B6 of TAS17
 # in units of [ Ampere/cm ] 
#                             |                                      symmetric part                                     ||              asymmetric part              |
   # EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.580000E+01   0.000000E+00   0.392928E+01   0.368245E+01   0.719349E+01  -0.279747E+00   0.619246E+00  -0.249926E+00   0.000000E+00   0.111022E-15  -0.277556E-16
   0.580250E+01   0.000000E+00   0.389836E+01   0.366122E+01   0.716269E+01  -0.276221E+00   0.617024E+00  -0.244979E+00   0.416334E-16   0.000000E+00   0.277556E-16
   0.580500E+01   0.000000E+00   0.386679E+01   0.363933E+01   0.712724E+01  -0.272531E+00   0.614371E+00  -0.239944E+00  -0.555112E-16   0.555112E-16   0.277556E-16
   0.580750E+01   0.000000E+00   0.383422E+01   0.361651E+01   0.708713E+01  -0.268667E+00   0.611264E+00  -0.234810E+00   0.138778E-16   0.555112E-16   0.000000E+00
   0.581000E+01   0.000000E+00   0.380003E+01   0.359225E+01   0.704236E+01  -0.264621E+00   0.607675E+00  -0.229566E+00  -0.277556E-16  -0.555112E-16   0.000000E+00
   0.581250E+01   0.000000E+00   0.376399E+01   0.356629E+01   0.699286E+01  -0.260390E+00   0.603575E+00  -0.224205E+00   0.124900E-15   0.000000E+00  -0.277556E-16
   0.581500E+01   0.000000E+00   0.372639E+01   0.353886E+01   0.693855E+01  -0.255969E+00   0.598930E+00  -0.218716E+00   0.000000E+00  -0.555112E-16   0.000000E+00
   0.581750E+01   0.000000E+00   0.368759E+01   0.351025E+01   0.687929E+01  -0.251347E+00   0.593703E+00  -0.213090E+00  -0.971445E-16   0.000000E+00   0.000000E+00
   0.582000E+01   0.000000E+00   0.364748E+01   0.348042E+01   0.681488E+01  -0.246511E+00   0.587856E+00  -0.207317E+00  -0.555112E-16   0.555112E-16   0.000000E+00
   0.582250E+01   0.000000E+00   0.360562E+01   0.344901E+01   0.674510E+01  -0.241446E+00   0.581344E+00  -0.201379E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.582500E+01   0.000000E+00   0.356163E+01   0.341568E+01   0.666962E+01  -0.236139E+00   0.574121E+00  -0.195257E+00   0.000000E+00   0.555112E-16   0.277556E-16
   0.582750E+01   0.000000E+00   0.351554E+01   0.338043E+01   0.658810E+01  -0.230573E+00   0.566131E+00  -0.188918E+00   0.555112E-16   0.000000E+00   0.000000E+00
   0.583000E+01   0.000000E+00   0.346757E+01   0.334349E+01   0.650009E+01  -0.224725E+00   0.557310E+00  -0.182314E+00   0.000000E+00   0.000000E+00   0.277556E-16
   0.583250E+01   0.000000E+00   0.341772E+01   0.330490E+01   0.640512E+01  -0.218563E+00   0.547577E+00  -0.175378E+00   0.000000E+00   0.000000E+00   0.277556E-16
   0.583500E+01   0.000000E+00   0.336571E+01   0.326447E+01   0.630273E+01  -0.212055E+00   0.536838E+00  -0.168017E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.583750E+01   0.000000E+00   0.331118E+01   0.322193E+01   0.619248E+01  -0.205162E+00   0.524976E+00  -0.160112E+00   0.000000E+00   0.000000E+00  -0.138778E-16
   0.584000E+01   0.000000E+00   0.325401E+01   0.317724E+01   0.607403E+01  -0.197844E+00   0.511856E+00  -0.151518E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.584250E+01   0.000000E+00   0.319427E+01   0.313053E+01   0.594713E+01  -0.190051E+00   0.497315E+00  -0.142074E+00   0.693889E-16   0.000000E+00   0.000000E+00
   0.584500E+01   0.000000E+00   0.313196E+01   0.308191E+01   0.581164E+01  -0.181721E+00   0.481151E+00  -0.131607E+00   0.000000E+00  -0.555112E-16  -0.277556E-16
   0.584750E+01   0.000000E+00   0.306686E+01   0.303130E+01   0.566756E+01  -0.172784E+00   0.463126E+00  -0.119945E+00   0.693889E-17  -0.277556E-16   0.416334E-16
   0.585000E+01   0.000000E+00   0.299869E+01   0.297855E+01   0.551499E+01  -0.163165E+00   0.442973E+00  -0.106937E+00   0.693889E-17  -0.555112E-16   0.000000E+00
   0.585250E+01   0.000000E+00   0.292726E+01   0.292358E+01   0.535420E+01  -0.152805E+00   0.420456E+00  -0.924734E-01   0.131839E-15   0.000000E+00   0.000000E+00
   0.585500E+01   0.000000E+00   0.285258E+01   0.286643E+01   0.518561E+01  -0.141680E+00   0.395437E+00  -0.765313E-01  -0.693889E-17  -0.277556E-16   0.000000E+00
   0.585750E+01   0.000000E+00   0.277475E+01   0.280715E+01   0.500986E+01  -0.129836E+00   0.367966E+00  -0.592045E-01   0.693889E-17   0.000000E+00   0.000000E+00
   0.586000E+01   0.000000E+00   0.269384E+01   0.274568E+01   0.482786E+01  -0.117404E+00   0.338336E+00  -0.407244E-01   0.728584E-16  -0.555112E-16  -0.693889E-17
   0.586250E+01   0.000000E+00   0.260998E+01   0.268191E+01   0.464074E+01  -0.104600E+00   0.307072E+00  -0.214450E-01   0.988792E-16  -0.277556E-16   0.000000E+00
   0.586500E+01   0.000000E+00   0.252340E+01   0.261576E+01   0.444976E+01  -0.916985E-01   0.274858E+00  -0.179439E-02  -0.466207E-16   0.277556E-16   0.138778E-16
   0.586750E+01   0.000000E+00   0.243444E+01   0.254724E+01   0.425608E+01  -0.789945E-01   0.242434E+00   0.177923E-01  -0.641848E-16   0.000000E+00   0.000000E+00
