 #orbital part of the K tensor -- Eq. 3 of TAS17
 # in units of [ Ampere ] 
#                             |                                      symmetric part                                     ||              asymmetric part              |
   # EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.580000E+01   0.000000E+00   0.914877E-06   0.100585E-05  -0.473628E-07  -0.342749E-08  -0.647760E-08  -0.213842E-07  -0.584950E-07  -0.219959E-07  -0.175980E-09
   0.580250E+01   0.000000E+00   0.907874E-06   0.998166E-06  -0.534966E-07  -0.410976E-08  -0.657649E-08  -0.205848E-07  -0.589609E-07  -0.215171E-07  -0.734914E-10
   0.580500E+01   0.000000E+00   0.900994E-06   0.990489E-06  -0.597586E-07  -0.476375E-08  -0.666191E-08  -0.197568E-07  -0.594391E-07  -0.210346E-07   0.267721E-10
   0.580750E+01   0.000000E+00   0.894030E-06   0.982672E-06  -0.661500E-07  -0.538480E-08  -0.673215E-08  -0.189013E-07  -0.599249E-07  -0.205472E-07   0.124558E-09
   0.581000E+01   0.000000E+00   0.886703E-06   0.974482E-06  -0.726586E-07  -0.596888E-08  -0.678479E-08  -0.180262E-07  -0.604197E-07  -0.200528E-07   0.219241E-09
   0.581250E+01   0.000000E+00   0.878977E-06   0.965858E-06  -0.792635E-07  -0.651500E-08  -0.681629E-08  -0.171404E-07  -0.609243E-07  -0.195484E-07   0.309498E-09
   0.581500E+01   0.000000E+00   0.871070E-06   0.956958E-06  -0.859467E-07  -0.702345E-08  -0.682143E-08  -0.162484E-07  -0.614316E-07  -0.190294E-07   0.393253E-09
   0.581750E+01   0.000000E+00   0.863159E-06   0.947936E-06  -0.926963E-07  -0.749207E-08  -0.679260E-08  -0.153530E-07  -0.619280E-07  -0.184890E-07   0.467920E-09
   0.582000E+01   0.000000E+00   0.855161E-06   0.938741E-06  -0.994960E-07  -0.791500E-08  -0.671928E-08  -0.144620E-07  -0.623985E-07  -0.179175E-07   0.530691E-09
   0.582250E+01   0.000000E+00   0.846829E-06   0.929168E-06  -0.106312E-06  -0.828484E-08  -0.658780E-08  -0.135920E-07  -0.628300E-07  -0.173024E-07   0.578628E-09
   0.582500E+01   0.000000E+00   0.838033E-06   0.919093E-06  -0.113095E-06  -0.859584E-08  -0.638196E-08  -0.127657E-07  -0.632069E-07  -0.166290E-07   0.608646E-09
   0.582750E+01   0.000000E+00   0.828869E-06   0.908583E-06  -0.119784E-06  -0.884450E-08  -0.608555E-08  -0.120065E-07  -0.635068E-07  -0.158828E-07   0.617717E-09
   0.583000E+01   0.000000E+00   0.819478E-06   0.897763E-06  -0.126319E-06  -0.902781E-08  -0.568711E-08  -0.113370E-07  -0.637023E-07  -0.150552E-07   0.603559E-09
   0.583250E+01   0.000000E+00   0.809835E-06   0.886628E-06  -0.132635E-06  -0.914196E-08  -0.518623E-08  -0.107783E-07  -0.637699E-07  -0.141496E-07   0.565658E-09
   0.583500E+01   0.000000E+00   0.799758E-06   0.875029E-06  -0.138653E-06  -0.918374E-08  -0.459897E-08  -0.103487E-07  -0.636984E-07  -0.131868E-07   0.506251E-09
   0.583750E+01   0.000000E+00   0.789106E-06   0.862837E-06  -0.144286E-06  -0.915296E-08  -0.395905E-08  -0.100560E-07  -0.634928E-07  -0.122048E-07   0.430821E-09
   0.584000E+01   0.000000E+00   0.777901E-06   0.850055E-06  -0.149451E-06  -0.905293E-08  -0.331271E-08  -0.989085E-08  -0.631741E-07  -0.112523E-07   0.347705E-09
   0.584250E+01   0.000000E+00   0.766256E-06   0.836765E-06  -0.154090E-06  -0.888834E-08  -0.270828E-08  -0.982430E-08  -0.627778E-07  -0.103764E-07   0.266597E-09
   0.584500E+01   0.000000E+00   0.754223E-06   0.822995E-06  -0.158173E-06  -0.866308E-08  -0.218400E-08  -0.981131E-08  -0.623530E-07  -0.960903E-08   0.196106E-09
   0.584750E+01   0.000000E+00   0.741750E-06   0.808679E-06  -0.161699E-06  -0.838044E-08  -0.175904E-08  -0.979808E-08  -0.619557E-07  -0.895755E-08   0.141163E-09
   0.585000E+01   0.000000E+00   0.728783E-06   0.793758E-06  -0.164695E-06  -0.804486E-08  -0.143136E-08  -0.973128E-08  -0.616372E-07  -0.840296E-08   0.101361E-09
   0.585250E+01   0.000000E+00   0.715359E-06   0.778266E-06  -0.167212E-06  -0.766212E-08  -0.118253E-08  -0.956765E-08  -0.614308E-07  -0.790693E-08   0.710961E-10
   0.585500E+01   0.000000E+00   0.701575E-06   0.762315E-06  -0.169323E-06  -0.723723E-08  -0.986955E-09  -0.928141E-08  -0.613436E-07  -0.742396E-08   0.415449E-10
   0.585750E+01   0.000000E+00   0.687484E-06   0.746000E-06  -0.171104E-06  -0.677211E-08  -0.820945E-09  -0.886599E-08  -0.613594E-07  -0.691395E-08   0.367429E-11
