 #the tensor $gamma_{abc}^{orb}$ (Eq. C10 of TAS17)
 # in units of [ Ang ] 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.000000E+00   0.195235E+01   0.132605E+01  -0.224184E+02   0.263721E-01  -0.858776E-01  -0.523926E+00   0.571920E+00   0.915211E-04   0.843238E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.250000E-02   0.195219E+01   0.132587E+01  -0.224264E+02   0.263748E-01  -0.858954E-01  -0.523811E+00   0.571945E+00   0.915619E-04   0.843259E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.500000E-02   0.195170E+01   0.132533E+01  -0.224506E+02   0.263829E-01  -0.859491E-01  -0.523466E+00   0.572022E+00   0.916847E-04   0.843323E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.750000E-02   0.195089E+01   0.132441E+01  -0.224911E+02   0.263965E-01  -0.860388E-01  -0.522888E+00   0.572151E+00   0.918900E-04   0.843431E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.100000E-01   0.194975E+01   0.132313E+01  -0.225479E+02   0.264155E-01  -0.861648E-01  -0.522076E+00   0.572333E+00   0.921789E-04   0.843581E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.125000E-01   0.194827E+01   0.132148E+01  -0.226215E+02   0.264401E-01  -0.863278E-01  -0.521027E+00   0.572569E+00   0.925528E-04   0.843775E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.150000E-01   0.194644E+01   0.131944E+01  -0.227120E+02   0.264704E-01  -0.865284E-01  -0.519738E+00   0.572862E+00   0.930136E-04   0.844014E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.175000E-01   0.194427E+01   0.131701E+01  -0.228200E+02   0.265063E-01  -0.867675E-01  -0.518202E+00   0.573214E+00   0.935638E-04   0.844296E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.200000E-01   0.194173E+01   0.131418E+01  -0.229460E+02   0.265481E-01  -0.870460E-01  -0.516414E+00   0.573628E+00   0.942063E-04   0.844624E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.225000E-01   0.193882E+01   0.131094E+01  -0.230904E+02   0.265958E-01  -0.873653E-01  -0.514367E+00   0.574108E+00   0.949444E-04   0.844998E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.250000E-01   0.193552E+01   0.130728E+01  -0.232541E+02   0.266496E-01  -0.877267E-01  -0.512054E+00   0.574659E+00   0.957821E-04   0.845419E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.275000E-01   0.193182E+01   0.130317E+01  -0.234377E+02   0.267097E-01  -0.881319E-01  -0.509464E+00   0.575285E+00   0.967243E-04   0.845888E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.300000E-01   0.192769E+01   0.129861E+01  -0.236424E+02   0.267764E-01  -0.885827E-01  -0.506586E+00   0.575993E+00   0.977761E-04   0.846405E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.325000E-01   0.192312E+01   0.129357E+01  -0.238689E+02   0.268497E-01  -0.890813E-01  -0.503410E+00   0.576789E+00   0.989438E-04   0.846973E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.350000E-01   0.191808E+01   0.128803E+01  -0.241187E+02   0.269300E-01  -0.896302E-01  -0.499920E+00   0.577681E+00   0.100234E-03   0.847592E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.375000E-01   0.191254E+01   0.128196E+01  -0.243929E+02   0.270175E-01  -0.902320E-01  -0.496101E+00   0.578679E+00   0.101656E-03   0.848265E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.400000E-01   0.190648E+01   0.127533E+01  -0.246931E+02   0.271126E-01  -0.908899E-01  -0.491937E+00   0.579794E+00   0.103217E-03   0.848993E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.425000E-01   0.189986E+01   0.126812E+01  -0.250211E+02   0.272157E-01  -0.916074E-01  -0.487405E+00   0.581036E+00   0.104929E-03   0.849778E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.450000E-01   0.189264E+01   0.126028E+01  -0.253788E+02   0.273270E-01  -0.923884E-01  -0.482486E+00   0.582421E+00   0.106804E-03   0.850622E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.475000E-01   0.188478E+01   0.125178E+01  -0.257683E+02   0.274472E-01  -0.932375E-01  -0.477153E+00   0.583965E+00   0.108853E-03   0.851528E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.500000E-01   0.187624E+01   0.124257E+01  -0.261922E+02   0.275765E-01  -0.941595E-01  -0.471378E+00   0.585686E+00   0.111094E-03   0.852499E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.525000E-01   0.186695E+01   0.123259E+01  -0.266532E+02   0.277157E-01  -0.951604E-01  -0.465129E+00   0.587607E+00   0.113543E-03   0.853537E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.550000E-01   0.185686E+01   0.122180E+01  -0.271545E+02   0.278653E-01  -0.962464E-01  -0.458371E+00   0.589752E+00   0.116221E-03   0.854646E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.575000E-01   0.184591E+01   0.121012E+01  -0.276999E+02   0.280259E-01  -0.974251E-01  -0.451061E+00   0.592152E+00   0.119151E-03   0.855830E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.600000E-01   0.183401E+01   0.119749E+01  -0.282933E+02   0.281985E-01  -0.987046E-01  -0.443155E+00   0.594840E+00   0.122359E-03   0.857093E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.625000E-01   0.182109E+01   0.118382E+01  -0.289396E+02   0.283837E-01  -0.100095E+00  -0.434599E+00   0.597858E+00   0.125875E-03   0.858440E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.650000E-01   0.180703E+01   0.116902E+01  -0.296440E+02   0.285825E-01  -0.101606E+00  -0.425332E+00   0.601252E+00   0.129737E-03   0.859875E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.675000E-01   0.179174E+01   0.115298E+01  -0.304130E+02   0.287962E-01  -0.103251E+00  -0.415286E+00   0.605078E+00   0.133983E-03   0.861406E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.700000E-01   0.177509E+01   0.113558E+01  -0.312534E+02   0.290257E-01  -0.105044E+00  -0.404382E+00   0.609404E+00   0.138664E-03   0.863038E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.725000E-01   0.175693E+01   0.111668E+01  -0.321738E+02   0.292726E-01  -0.107002E+00  -0.392528E+00   0.614306E+00   0.143834E-03   0.864779E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.750000E-01   0.173710E+01   0.109613E+01  -0.331836E+02   0.295384E-01  -0.109144E+00  -0.379618E+00   0.619877E+00   0.149560E-03   0.866637E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.775000E-01   0.171541E+01   0.107373E+01  -0.342939E+02   0.298249E-01  -0.111492E+00  -0.365531E+00   0.626229E+00   0.155919E-03   0.868623E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.800000E-01   0.169164E+01   0.104927E+01  -0.355179E+02   0.301341E-01  -0.114073E+00  -0.350124E+00   0.633493E+00   0.163001E-03   0.870746E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.825000E-01   0.166554E+01   0.102252E+01  -0.368706E+02   0.304683E-01  -0.116916E+00  -0.333231E+00   0.641822E+00   0.170914E-03   0.873020E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
