 #the tildeD tensor -- Eq. 12 of TAS17
 # in units of [ dimensionless ] 
#                             |                                      symmetric part                                     ||              asymmetric part              |
   # EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.580000E+01   0.000000E+00   0.475626E-02   0.576944E-02  -0.147958E-01   0.596085E-03   0.747895E-04  -0.118558E-02   0.318113E-03  -0.284337E-04  -0.371145E-04
   0.580250E+01   0.000000E+00   0.482399E-02   0.583709E-02  -0.148520E-01   0.585820E-03   0.735853E-04  -0.119421E-02   0.331614E-03  -0.229429E-04  -0.395559E-04
   0.580500E+01   0.000000E+00   0.487734E-02   0.589347E-02  -0.148964E-01   0.575646E-03   0.724876E-04  -0.120253E-02   0.345274E-03  -0.175562E-04  -0.419814E-04
   0.580750E+01   0.000000E+00   0.492794E-02   0.594578E-02  -0.149290E-01   0.565498E-03   0.714825E-04  -0.121052E-02   0.359114E-03  -0.122791E-04  -0.443699E-04
   0.581000E+01   0.000000E+00   0.498876E-02   0.600438E-02  -0.149504E-01   0.555423E-03   0.705535E-04  -0.121792E-02   0.373448E-03  -0.712373E-05  -0.467073E-04
   0.581250E+01   0.000000E+00   0.505822E-02   0.607010E-02  -0.149613E-01   0.545484E-03   0.696784E-04  -0.122451E-02   0.388496E-03  -0.211240E-05  -0.489801E-04
   0.581500E+01   0.000000E+00   0.512252E-02   0.613306E-02  -0.149622E-01   0.535654E-03   0.688216E-04  -0.123039E-02   0.404120E-03   0.272056E-05  -0.511644E-04
   0.581750E+01   0.000000E+00   0.517350E-02   0.618537E-02  -0.149529E-01   0.525819E-03   0.679279E-04  -0.123570E-02   0.419974E-03   0.732511E-05  -0.532213E-04
   0.582000E+01   0.000000E+00   0.521898E-02   0.623147E-02  -0.149329E-01   0.515870E-03   0.669161E-04  -0.124039E-02   0.435849E-03   0.116284E-04  -0.551037E-04
   0.582250E+01   0.000000E+00   0.527254E-02   0.628251E-02  -0.149029E-01   0.505764E-03   0.656767E-04  -0.124411E-02   0.451757E-03   0.155293E-04  -0.567637E-04
   0.582500E+01   0.000000E+00   0.533674E-02   0.634226E-02  -0.148638E-01   0.495509E-03   0.640774E-04  -0.124648E-02   0.467655E-03   0.189032E-04  -0.581525E-04
   0.582750E+01   0.000000E+00   0.540154E-02   0.640320E-02  -0.148162E-01   0.485091E-03   0.619850E-04  -0.124721E-02   0.483189E-03   0.216268E-04  -0.592154E-04
   0.583000E+01   0.000000E+00   0.545879E-02   0.645755E-02  -0.147604E-01   0.474430E-03   0.593099E-04  -0.124607E-02   0.497753E-03   0.236268E-04  -0.598897E-04
   0.583250E+01   0.000000E+00   0.551295E-02   0.650775E-02  -0.146964E-01   0.463423E-03   0.560650E-04  -0.124265E-02   0.510772E-03   0.249401E-04  -0.601136E-04
   0.583500E+01   0.000000E+00   0.557498E-02   0.656303E-02  -0.146250E-01   0.452036E-03   0.524148E-04  -0.123639E-02   0.521837E-03   0.257596E-04  -0.598439E-04
   0.583750E+01   0.000000E+00   0.564930E-02   0.662796E-02  -0.145475E-01   0.440346E-03   0.486824E-04  -0.122670E-02   0.530593E-03   0.264342E-04  -0.590743E-04
   0.584000E+01   0.000000E+00   0.573075E-02   0.669860E-02  -0.144652E-01   0.428482E-03   0.452951E-04  -0.121317E-02   0.536614E-03   0.274054E-04  -0.578449E-04
   0.584250E+01   0.000000E+00   0.581366E-02   0.676984E-02  -0.143787E-01   0.416534E-03   0.426785E-04  -0.119561E-02   0.539485E-03   0.290909E-04  -0.562406E-04
   0.584500E+01   0.000000E+00   0.589978E-02   0.684317E-02  -0.142885E-01   0.404532E-03   0.411370E-04  -0.117396E-02   0.539016E-03   0.317567E-04  -0.543812E-04
   0.584750E+01   0.000000E+00   0.599632E-02   0.692547E-02  -0.141954E-01   0.392528E-03   0.407730E-04  -0.114832E-02   0.535360E-03   0.354299E-04  -0.524034E-04
   0.585000E+01   0.000000E+00   0.610822E-02   0.702202E-02  -0.141001E-01   0.380620E-03   0.414791E-04  -0.111899E-02   0.528913E-03   0.398937E-04  -0.504337E-04
   0.585250E+01   0.000000E+00   0.623481E-02   0.713308E-02  -0.140038E-01   0.368872E-03   0.430048E-04  -0.108646E-02   0.520111E-03   0.447656E-04  -0.485575E-04
   0.585500E+01   0.000000E+00   0.637376E-02   0.725710E-02  -0.139067E-01   0.357186E-03   0.450613E-04  -0.105125E-02   0.509313E-03   0.496255E-04  -0.468005E-04
   0.585750E+01   0.000000E+00   0.652700E-02   0.739604E-02  -0.138093E-01   0.345293E-03   0.474119E-04  -0.101373E-02   0.496783E-03   0.541315E-04  -0.451345E-04
   0.586000E+01   0.000000E+00   0.670194E-02   0.755664E-02  -0.137125E-01   0.332851E-03   0.499138E-04  -0.974113E-03   0.482709E-03   0.580827E-04  -0.435048E-04
   0.586250E+01   0.000000E+00   0.690740E-02   0.774700E-02  -0.136178E-01   0.319537E-03   0.525077E-04  -0.932435E-03   0.467173E-03   0.614186E-04  -0.418633E-04
   0.586500E+01   0.000000E+00   0.714971E-02   0.797323E-02  -0.135272E-01   0.305057E-03   0.551814E-04  -0.888715E-03   0.450135E-03   0.641785E-04  -0.401879E-04
   0.586750E+01   0.000000E+00   0.743442E-02   0.824103E-02  -0.134428E-01   0.289168E-03   0.579334E-04  -0.842953E-03   0.431452E-03   0.664508E-04  -0.384852E-04
   0.587000E+01   0.000000E+00   0.777199E-02   0.856049E-02  -0.133670E-01   0.271760E-03   0.607507E-04  -0.795110E-03   0.410920E-03   0.683311E-04  -0.367791E-04
