 #the C tensor -- Eq. B6 of TAS17
 # in units of [ Ampere/cm ] 
#                             |                                      symmetric part                                     ||              asymmetric part              |
   # EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.590000E+01   0.000000E+00   0.113201E+01   0.137193E+01   0.167432E+01  -0.184998E-03   0.281799E-02   0.165691E+00  -0.138778E-16  -0.650521E-18   0.406576E-18
   0.590250E+01   0.000000E+00   0.102935E+01   0.125879E+01   0.148590E+01  -0.344802E-04   0.132947E-02   0.160383E+00   0.000000E+00  -0.758942E-18  -0.643745E-18
   0.590500E+01   0.000000E+00   0.928311E+00   0.114426E+01   0.130434E+01   0.884256E-05   0.576609E-03   0.151631E+00   0.138778E-16  -0.704731E-18  -0.398105E-18
   0.590750E+01   0.000000E+00   0.828999E+00   0.102912E+01   0.113113E+01   0.130044E-04   0.230196E-03   0.139969E+00   0.000000E+00   0.338813E-18  -0.344742E-18
   0.591000E+01   0.000000E+00   0.731473E+00   0.914144E+00   0.967676E+00   0.816543E-05   0.855918E-04   0.126158E+00   0.000000E+00   0.216840E-18   0.559042E-19
   0.591250E+01   0.000000E+00   0.635867E+00   0.800119E+00   0.815181E+00   0.407189E-05   0.308563E-04   0.111043E+00   0.693889E-17  -0.711508E-19  -0.160089E-18
   0.591500E+01   0.000000E+00   0.542589E+00   0.687944E+00   0.674630E+00   0.212665E-05   0.119612E-04   0.954146E-01   0.693889E-17   0.355754E-18   0.620452E-19
   0.591750E+01   0.000000E+00   0.452510E+00   0.578788E+00   0.546826E+00   0.152525E-05   0.584974E-05   0.799257E-01   0.000000E+00  -0.243945E-18   0.548242E-18
   0.592000E+01   0.000000E+00   0.367083E+00   0.474291E+00   0.432513E+00   0.145410E-05   0.380722E-05   0.650853E-01   0.000000E+00   0.123879E-18   0.408164E-18
   0.592250E+01   0.000000E+00   0.288276E+00   0.376643E+00   0.332438E+00   0.148737E-05   0.291361E-05   0.512989E-01   0.000000E+00   0.362107E-19   0.120067E-18
   0.592500E+01   0.000000E+00   0.218250E+00   0.288408E+00   0.247267E+00   0.146527E-05   0.230777E-05   0.389145E-01   0.346945E-17  -0.211123E-18  -0.322190E-18
   0.592750E+01   0.000000E+00   0.158826E+00   0.212033E+00   0.177328E+00   0.135064E-05   0.177955E-05   0.282328E-01  -0.346945E-17   0.189524E-19   0.920090E-19
   0.593000E+01   0.000000E+00   0.110961E+00   0.149208E+00   0.122293E+00   0.115657E-05   0.130364E-05   0.194697E-01   0.000000E+00  -0.602452E-19  -0.440457E-19
   0.593250E+01   0.000000E+00   0.744582E-01   0.100354E+00   0.809927E-01   0.917498E-06   0.897474E-06   0.126964E-01   0.000000E+00   0.690332E-19  -0.598217E-20
   0.593500E+01   0.000000E+00   0.480647E-01   0.645118E-01   0.514961E-01   0.673305E-06   0.577565E-06   0.780227E-02  -0.130104E-17  -0.285344E-19  -0.201170E-20
   0.593750E+01   0.000000E+00   0.298869E-01   0.396681E-01   0.314314E-01   0.456917E-06   0.346737E-06   0.451290E-02   0.000000E+00   0.926442E-20  -0.560365E-19
   0.594000E+01   0.000000E+00   0.178889E-01   0.233380E-01   0.183990E-01   0.286890E-06   0.194239E-06   0.245953E-02   0.000000E+00   0.137643E-20  -0.217052E-19
   0.594250E+01   0.000000E+00   0.102668E-01   0.131162E-01   0.102982E-01   0.166821E-06   0.101714E-06   0.126656E-02   0.000000E+00  -0.624687E-20   0.500279E-20
   0.594500E+01   0.000000E+00   0.560903E-02   0.701101E-02   0.548091E-02   0.898943E-07   0.498965E-07   0.618214E-03   0.000000E+00  -0.500279E-20  -0.549910E-20
   0.594750E+01   0.000000E+00   0.288952E-02   0.353942E-02   0.275251E-02   0.448808E-07   0.229606E-07   0.286467E-03  -0.271051E-19  -0.331369E-20  -0.224993E-20
   0.595000E+01   0.000000E+00   0.138945E-02   0.167301E-02   0.129288E-02   0.207288E-07   0.990481E-08   0.125808E-03   0.000000E+00   0.109436E-20  -0.131191E-20
   0.595250E+01   0.000000E+00   0.617762E-03   0.733752E-03   0.562998E-03   0.883157E-08   0.399339E-08   0.520804E-04   0.000000E+00  -0.777963E-21  -0.203486E-21
   0.595500E+01   0.000000E+00   0.251896E-03   0.296099E-03   0.225470E-03   0.345748E-08   0.149703E-08   0.201544E-04   0.000000E+00   0.117253E-21   0.375126E-21
   0.595750E+01   0.000000E+00   0.935752E-04   0.109152E-03   0.824770E-04   0.123823E-08   0.518483E-09   0.722236E-05  -0.423516E-21  -0.703104E-22   0.359513E-21
   0.596000E+01   0.000000E+00   0.315034E-04   0.365405E-04   0.274033E-04   0.403824E-09   0.164795E-09   0.237497E-05   0.000000E+00  -0.703491E-22   0.125059E-21
