 #the D tensor -- Eq. 2 of TAS17
 # in units of [ dimensionless ] 
#                             |                                      symmetric part                                     ||              asymmetric part              |
   # EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.590000E+01   0.000000E+00  -0.818934E-02  -0.660767E-01  -0.187533E-01   0.298112E-02  -0.654595E-03   0.141303E-01  -0.840251E-02  -0.594519E-03  -0.147241E-02
   0.590250E+01   0.000000E+00  -0.573069E-02  -0.649907E-01  -0.182827E-01   0.301464E-02  -0.681088E-03   0.143839E-01  -0.879523E-02  -0.624523E-03  -0.154624E-02
   0.590500E+01   0.000000E+00  -0.204083E-02  -0.555340E-01  -0.173116E-01   0.269771E-02  -0.619172E-03   0.128744E-01  -0.810898E-02  -0.572699E-03  -0.143475E-02
   0.590750E+01   0.000000E+00   0.137986E-02  -0.411671E-01  -0.159491E-01   0.213663E-02  -0.491589E-03   0.101148E-01  -0.658269E-02  -0.458339E-03  -0.117649E-02
   0.591000E+01   0.000000E+00   0.347977E-02  -0.262731E-01  -0.143661E-01   0.150025E-02  -0.339223E-03   0.694924E-02  -0.470081E-02  -0.318568E-03  -0.853044E-03
   0.591250E+01   0.000000E+00   0.410944E-02  -0.140861E-01  -0.127370E-01   0.937974E-03  -0.200872E-03   0.414400E-02  -0.294968E-02  -0.189785E-03  -0.547708E-03
   0.591500E+01   0.000000E+00   0.380543E-02  -0.579545E-02  -0.111960E-01   0.527483E-03  -0.987491E-04   0.211207E-02  -0.162534E-02  -0.936393E-04  -0.312422E-03
   0.591750E+01   0.000000E+00   0.323707E-02  -0.969071E-03  -0.981497E-02   0.272901E-03  -0.362553E-04   0.887341E-03  -0.789132E-03  -0.342477E-04  -0.159551E-03
   0.592000E+01   0.000000E+00   0.280001E-02   0.147337E-02  -0.860326E-02   0.136005E-03  -0.486801E-05   0.274921E-03  -0.345056E-03  -0.419230E-05  -0.743066E-04
   0.592250E+01   0.000000E+00   0.255617E-02   0.251906E-02  -0.752214E-02   0.703761E-04   0.719327E-05   0.280667E-04  -0.149079E-03   0.740522E-05  -0.329209E-04
   0.592500E+01   0.000000E+00   0.239412E-02   0.280570E-02  -0.651252E-02   0.406881E-04   0.952623E-05  -0.450082E-04  -0.813403E-04   0.961291E-05  -0.150464E-04
   0.592750E+01   0.000000E+00   0.219838E-02   0.268095E-02  -0.552562E-02   0.265504E-04   0.803189E-05  -0.549630E-04  -0.674288E-04   0.809289E-05  -0.782629E-05
   0.593000E+01   0.000000E+00   0.192291E-02   0.233579E-02  -0.454446E-02   0.185297E-04   0.563358E-05  -0.501063E-04  -0.695922E-04   0.568625E-05  -0.476953E-05
   0.593250E+01   0.000000E+00   0.158367E-02   0.189173E-02  -0.358759E-02   0.130501E-04   0.349949E-05  -0.447058E-04  -0.714887E-04   0.354224E-05  -0.318479E-05
   0.593500E+01   0.000000E+00   0.122378E-02   0.143398E-02  -0.269667E-02   0.896700E-05   0.195376E-05  -0.398037E-04  -0.675714E-04   0.198481E-05  -0.215079E-05
   0.593750E+01   0.000000E+00   0.885950E-03   0.101927E-02  -0.191712E-02   0.591791E-05   0.973999E-06  -0.339266E-04  -0.577233E-04   0.994276E-06  -0.140447E-05
   0.594000E+01   0.000000E+00   0.599559E-03   0.678693E-03  -0.128146E-02   0.372027E-05   0.423008E-06  -0.267329E-04  -0.444413E-04   0.435038E-06  -0.870841E-06
   0.594250E+01   0.000000E+00   0.378020E-03   0.422105E-03  -0.800888E-03   0.221302E-05   0.150701E-06  -0.191367E-04  -0.308529E-04   0.157247E-06  -0.509140E-06
