 #the tensor $gamma_{abc}^{orb}$ (Eq. C10 of TAS17)
 # in units of [ Ang ] 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.000000E+00   0.195235E+01   0.132602E+01  -0.224198E+02   0.263962E-01  -0.858002E-01  -0.523904E+00   0.571906E+00  -0.141670E-03   0.842972E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.250000E-02   0.195219E+01   0.132584E+01  -0.224278E+02   0.263989E-01  -0.858180E-01  -0.523789E+00   0.571931E+00  -0.141729E-03   0.842993E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.500000E-02   0.195170E+01   0.132529E+01  -0.224520E+02   0.264071E-01  -0.858716E-01  -0.523443E+00   0.572008E+00  -0.141907E-03   0.843057E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.750000E-02   0.195089E+01   0.132438E+01  -0.224925E+02   0.264206E-01  -0.859613E-01  -0.522865E+00   0.572137E+00  -0.142203E-03   0.843164E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.100000E-01   0.194974E+01   0.132310E+01  -0.225493E+02   0.264397E-01  -0.860873E-01  -0.522053E+00   0.572319E+00  -0.142620E-03   0.843315E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.125000E-01   0.194826E+01   0.132144E+01  -0.226229E+02   0.264643E-01  -0.862502E-01  -0.521004E+00   0.572555E+00  -0.143160E-03   0.843508E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.150000E-01   0.194644E+01   0.131940E+01  -0.227135E+02   0.264945E-01  -0.864506E-01  -0.519714E+00   0.572848E+00  -0.143824E-03   0.843746E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.175000E-01   0.194426E+01   0.131697E+01  -0.228215E+02   0.265304E-01  -0.866895E-01  -0.518178E+00   0.573200E+00  -0.144617E-03   0.844028E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.200000E-01   0.194173E+01   0.131415E+01  -0.229474E+02   0.265722E-01  -0.869679E-01  -0.516390E+00   0.573614E+00  -0.145541E-03   0.844355E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.225000E-01   0.193882E+01   0.131091E+01  -0.230919E+02   0.266199E-01  -0.872870E-01  -0.514344E+00   0.574094E+00  -0.146603E-03   0.844728E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.250000E-01   0.193552E+01   0.130724E+01  -0.232556E+02   0.266737E-01  -0.876481E-01  -0.512030E+00   0.574645E+00  -0.147806E-03   0.845148E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.275000E-01   0.193181E+01   0.130314E+01  -0.234393E+02   0.267339E-01  -0.880531E-01  -0.509439E+00   0.575271E+00  -0.149158E-03   0.845615E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.300000E-01   0.192768E+01   0.129857E+01  -0.236439E+02   0.268005E-01  -0.885036E-01  -0.506561E+00   0.575978E+00  -0.150664E-03   0.846132E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.325000E-01   0.192311E+01   0.129353E+01  -0.238705E+02   0.268738E-01  -0.890019E-01  -0.503384E+00   0.576774E+00  -0.152334E-03   0.846698E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.350000E-01   0.191807E+01   0.128799E+01  -0.241203E+02   0.269541E-01  -0.895505E-01  -0.499894E+00   0.577667E+00  -0.154176E-03   0.847316E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.375000E-01   0.191253E+01   0.128192E+01  -0.243946E+02   0.270416E-01  -0.901519E-01  -0.496075E+00   0.578665E+00  -0.156201E-03   0.847987E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.400000E-01   0.190647E+01   0.127529E+01  -0.246948E+02   0.271367E-01  -0.908094E-01  -0.491909E+00   0.579779E+00  -0.158420E-03   0.848713E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.425000E-01   0.189985E+01   0.126808E+01  -0.250229E+02   0.272398E-01  -0.915265E-01  -0.487377E+00   0.581021E+00  -0.160847E-03   0.849496E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.450000E-01   0.189263E+01   0.126024E+01  -0.253806E+02   0.273511E-01  -0.923071E-01  -0.482457E+00   0.582406E+00  -0.163496E-03   0.850338E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.475000E-01   0.188477E+01   0.125174E+01  -0.257702E+02   0.274712E-01  -0.931556E-01  -0.477123E+00   0.583950E+00  -0.166386E-03   0.851242E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.500000E-01   0.187622E+01   0.124252E+01  -0.261941E+02   0.276006E-01  -0.940771E-01  -0.471347E+00   0.585671E+00  -0.169535E-03   0.852210E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.525000E-01   0.186693E+01   0.123255E+01  -0.266552E+02   0.277397E-01  -0.950774E-01  -0.465097E+00   0.587591E+00  -0.172964E-03   0.853246E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.550000E-01   0.185685E+01   0.122175E+01  -0.271566E+02   0.278893E-01  -0.961628E-01  -0.458338E+00   0.589736E+00  -0.176700E-03   0.854352E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.575000E-01   0.184589E+01   0.121008E+01  -0.277020E+02   0.280500E-01  -0.973408E-01  -0.451027E+00   0.592136E+00  -0.180770E-03   0.855533E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.600000E-01   0.183399E+01   0.119744E+01  -0.282956E+02   0.282225E-01  -0.986196E-01  -0.443119E+00   0.594824E+00  -0.185207E-03   0.856793E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.625000E-01   0.182106E+01   0.118377E+01  -0.289419E+02   0.284077E-01  -0.100009E+00  -0.434561E+00   0.597842E+00  -0.190047E-03   0.858136E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.650000E-01   0.180701E+01   0.116897E+01  -0.296465E+02   0.286066E-01  -0.101519E+00  -0.425293E+00   0.601236E+00  -0.195334E-03   0.859568E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.675000E-01   0.179171E+01   0.115293E+01  -0.304156E+02   0.288202E-01  -0.103164E+00  -0.415245E+00   0.605062E+00  -0.201116E-03   0.861095E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.700000E-01   0.177506E+01   0.113552E+01  -0.312562E+02   0.290498E-01  -0.104956E+00  -0.404339E+00   0.609387E+00  -0.207449E-03   0.862723E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.725000E-01   0.175690E+01   0.111662E+01  -0.321767E+02   0.292967E-01  -0.106913E+00  -0.392483E+00   0.614289E+00  -0.214399E-03   0.864460E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.750000E-01   0.173706E+01   0.109606E+01  -0.331867E+02   0.295625E-01  -0.109054E+00  -0.379571E+00   0.619861E+00  -0.222042E-03   0.866314E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.775000E-01   0.171537E+01   0.107366E+01  -0.342973E+02   0.298490E-01  -0.111401E+00  -0.365481E+00   0.626214E+00  -0.230466E-03   0.868296E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.800000E-01   0.169160E+01   0.104921E+01  -0.355214E+02   0.301583E-01  -0.113980E+00  -0.350070E+00   0.633477E+00  -0.239775E-03   0.870414E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.825000E-01   0.166549E+01   0.102245E+01  -0.368745E+02   0.304925E-01  -0.116822E+00  -0.333173E+00   0.641808E+00  -0.250090E-03   0.872683E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.850000E-01   0.163677E+01   0.993112E+00  -0.383741E+02   0.308545E-01  -0.119961E+00  -0.314595E+00   0.651388E+00  -0.261552E-03   0.875117E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.875000E-01   0.160508E+01   0.960857E+00  -0.400413E+02   0.312472E-01  -0.123440E+00  -0.294108E+00   0.662433E+00  -0.274328E-03   0.877731E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.900000E-01   0.157005E+01   0.925304E+00  -0.419004E+02   0.316743E-01  -0.127307E+00  -0.271448E+00   0.675186E+00  -0.288612E-03   0.880545E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.925000E-01   0.153121E+01   0.886012E+00  -0.439800E+02   0.321397E-01  -0.131618E+00  -0.246304E+00   0.689914E+00  -0.304632E-03   0.883580E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.950000E-01   0.148805E+01   0.842481E+00  -0.463129E+02   0.326481E-01  -0.136439E+00  -0.218322E+00   0.706891E+00  -0.322648E-03   0.886861E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.975000E-01   0.144002E+01   0.794154E+00  -0.489363E+02   0.332049E-01  -0.141844E+00  -0.187099E+00   0.726344E+00  -0.342953E-03   0.890419E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.100000E+00   0.138649E+01   0.740445E+00  -0.518906E+02   0.338160E-01  -0.147914E+00  -0.152198E+00   0.748350E+00  -0.365862E-03   0.894288E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
   0.595000E+01   0.102500E+00   0.132688E+01   0.680797E+00  -0.552164E+02   0.344877E-01  -0.154731E+00  -0.113180E+00   0.772603E+00  -0.391680E-03   0.898508E-01
 
 
   # EFERMI(eV)      omega(eV)            yzx            zxy            xyz            yzy            yzz            zxz            xyy            yzz            zxx
