 #the D tensor -- Eq. 2 of TAS17
 # in units of [ dimensionless ] 
#                             |                                      symmetric part                                     ||              asymmetric part              |
   # EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.580000E+01   0.000000E+00   0.462293E-02   0.562079E-02  -0.149255E-01   0.596808E-03   0.767667E-04  -0.119038E-02   0.331520E-03  -0.228999E-04  -0.163216E-04
   0.580250E+01   0.000000E+00   0.468066E-02   0.567880E-02  -0.149864E-01   0.586418E-03   0.755985E-04  -0.119909E-02   0.345037E-03  -0.174034E-04  -0.188212E-04
   0.580500E+01   0.000000E+00   0.472317E-02   0.572473E-02  -0.150360E-01   0.576122E-03   0.745333E-04  -0.120750E-02   0.358711E-03  -0.120163E-04  -0.213092E-04
   0.580750E+01   0.000000E+00   0.476212E-02   0.576575E-02  -0.150740E-01   0.565854E-03   0.735576E-04  -0.121560E-02   0.372560E-03  -0.674399E-05  -0.237665E-04
   0.581000E+01   0.000000E+00   0.481048E-02   0.581223E-02  -0.151011E-01   0.555661E-03   0.726555E-04  -0.122310E-02   0.386901E-03  -0.159824E-05  -0.261827E-04
   0.581250E+01   0.000000E+00   0.486650E-02   0.586487E-02  -0.151182E-01   0.545608E-03   0.718049E-04  -0.122981E-02   0.401956E-03   0.339893E-05  -0.285460E-04
   0.581500E+01   0.000000E+00   0.491612E-02   0.591358E-02  -0.151257E-01   0.535666E-03   0.709712E-04  -0.123580E-02   0.417584E-03   0.821364E-05  -0.308307E-04
   0.581750E+01   0.000000E+00   0.495102E-02   0.595027E-02  -0.151235E-01   0.525721E-03   0.700994E-04  -0.124125E-02   0.433436E-03   0.127964E-04  -0.329961E-04
   0.582000E+01   0.000000E+00   0.497899E-02   0.597931E-02  -0.151113E-01   0.515665E-03   0.691094E-04  -0.124609E-02   0.449307E-03   0.170752E-04  -0.349958E-04
   0.582250E+01   0.000000E+00   0.501359E-02   0.601181E-02  -0.150896E-01   0.505456E-03   0.678928E-04  -0.124998E-02   0.465210E-03   0.209496E-04  -0.367848E-04
   0.582500E+01   0.000000E+00   0.505705E-02   0.605128E-02  -0.150595E-01   0.495101E-03   0.663184E-04  -0.125253E-02   0.481105E-03   0.242960E-04  -0.383167E-04
   0.582750E+01   0.000000E+00   0.509893E-02   0.608984E-02  -0.150219E-01   0.484587E-03   0.642543E-04  -0.125346E-02   0.496633E-03   0.269923E-04  -0.395369E-04
   0.583000E+01   0.000000E+00   0.513081E-02   0.611938E-02  -0.149769E-01   0.473832E-03   0.616119E-04  -0.125254E-02   0.511190E-03   0.289657E-04  -0.403813E-04
   0.583250E+01   0.000000E+00   0.515695E-02   0.614212E-02  -0.149249E-01   0.462736E-03   0.584038E-04  -0.124937E-02   0.524202E-03   0.302525E-04  -0.407877E-04
   0.583500E+01   0.000000E+00   0.518801E-02   0.616698E-02  -0.148667E-01   0.451263E-03   0.547930E-04  -0.124338E-02   0.535263E-03   0.310436E-04  -0.407140E-04
   0.583750E+01   0.000000E+00   0.522781E-02   0.619802E-02  -0.148039E-01   0.439490E-03   0.510989E-04  -0.123400E-02   0.544019E-03   0.316841E-04  -0.401549E-04
   0.584000E+01   0.000000E+00   0.527055E-02   0.623061E-02  -0.147380E-01   0.427545E-03   0.477434E-04  -0.122082E-02   0.550042E-03   0.326095E-04  -0.391497E-04
   0.584250E+01   0.000000E+00   0.530987E-02   0.625898E-02  -0.146699E-01   0.415518E-03   0.451452E-04  -0.120364E-02   0.552916E-03   0.342305E-04  -0.377809E-04
   0.584500E+01   0.000000E+00   0.534682E-02   0.628388E-02  -0.146004E-01   0.403437E-03   0.436021E-04  -0.118241E-02   0.552452E-03   0.368061E-04  -0.361666E-04
   0.584750E+01   0.000000E+00   0.538758E-02   0.631118E-02  -0.145307E-01   0.391349E-03   0.432107E-04  -0.115725E-02   0.548810E-03   0.403581E-04  -0.344431E-04
   0.585000E+01   0.000000E+00   0.543581E-02   0.634491E-02  -0.144622E-01   0.379355E-03   0.438604E-04  -0.112847E-02   0.542387E-03   0.446659E-04  -0.327377E-04
   0.585250E+01   0.000000E+00   0.548928E-02   0.638375E-02  -0.143965E-01   0.367517E-03   0.453003E-04  -0.109654E-02   0.533631E-03   0.493468E-04  -0.311371E-04
   0.585500E+01   0.000000E+00   0.554374E-02   0.642425E-02  -0.143350E-01   0.355737E-03   0.472442E-04  -0.106202E-02   0.522911E-03   0.539825E-04  -0.296683E-04
   0.585750E+01   0.000000E+00   0.559865E-02   0.646593E-02  -0.142790E-01   0.343749E-03   0.494603E-04  -0.102530E-02   0.510516E-03   0.582356E-04  -0.283059E-04
   0.586000E+01   0.000000E+00   0.565835E-02   0.651249E-02  -0.142310E-01   0.331217E-03   0.518116E-04  -0.986595E-03   0.496657E-03   0.619106E-04  -0.269997E-04
   0.586250E+01   0.000000E+00   0.572775E-02   0.656818E-02  -0.141943E-01   0.317826E-03   0.542453E-04  -0.945974E-03   0.481443E-03   0.649530E-04  -0.257068E-04
   0.586500E+01   0.000000E+00   0.580802E-02   0.663401E-02  -0.141733E-01   0.303292E-03   0.567542E-04  -0.903476E-03   0.464854E-03   0.674077E-04  -0.244102E-04
   0.586750E+01   0.000000E+00   0.589791E-02   0.670847E-02  -0.141737E-01   0.287391E-03   0.593388E-04  -0.859049E-03   0.446754E-03   0.693656E-04  -0.231240E-04
   0.587000E+01   0.000000E+00   0.599868E-02   0.679051E-02  -0.142025E-01   0.270100E-03   0.619765E-04  -0.812267E-03   0.426841E-03   0.709152E-04  -0.218996E-04
   0.587250E+01   0.000000E+00   0.611451E-02   0.687597E-02  -0.142688E-01   0.251872E-03   0.645778E-04  -0.761435E-03   0.404295E-03   0.720889E-04  -0.208769E-04
   0.587500E+01   0.000000E+00   0.624273E-02   0.693874E-02  -0.143843E-01   0.234183E-03   0.668724E-04  -0.700963E-03   0.376493E-03   0.727608E-04  -0.204886E-04
   0.587750E+01   0.000000E+00   0.635509E-02   0.688789E-02  -0.145627E-01   0.220840E-03   0.681135E-04  -0.614692E-03   0.335528E-03   0.723932E-04  -0.220511E-04
   0.588000E+01   0.000000E+00   0.636989E-02   0.648562E-02  -0.148186E-01   0.220823E-03   0.664495E-04  -0.461901E-03   0.260631E-03   0.694816E-04  -0.291045E-04
   0.588250E+01   0.000000E+00   0.611548E-02   0.521838E-02  -0.151676E-01   0.252929E-03   0.579047E-04  -0.155099E-03   0.105563E-03   0.606159E-04  -0.497275E-04
   0.588500E+01   0.000000E+00   0.530927E-02   0.217979E-02  -0.156255E-01   0.350274E-03   0.353501E-04   0.461226E-03  -0.214917E-03   0.394685E-04  -0.991706E-04
   0.588750E+01   0.000000E+00   0.361781E-02  -0.385506E-02  -0.162021E-01   0.558800E-03  -0.113516E-04   0.160365E-02  -0.825604E-03  -0.321779E-05  -0.200288E-03
   0.589000E+01   0.000000E+00   0.860317E-03  -0.139371E-01  -0.168853E-01   0.921677E-03  -0.922743E-04   0.347669E-02  -0.185640E-02  -0.769906E-04  -0.377589E-03
   0.589250E+01   0.000000E+00  -0.269395E-02  -0.280243E-01  -0.176182E-01   0.144720E-02  -0.210669E-03   0.612147E-02  -0.336045E-02  -0.185554E-03  -0.642346E-03
   0.589500E+01   0.000000E+00  -0.616156E-02  -0.441195E-01  -0.182838E-01   0.207396E-02  -0.355053E-03   0.924900E-02  -0.521123E-02  -0.319289E-03  -0.973348E-03
   0.589750E+01   0.000000E+00  -0.828900E-02  -0.583090E-01  -0.187166E-01   0.266271E-02  -0.496307E-03   0.121958E-01  -0.705348E-02  -0.452049E-03  -0.130716E-02
   0.590000E+01   0.000000E+00  -0.811897E-02  -0.661935E-01  -0.187495E-01   0.303852E-02  -0.595474E-03   0.141168E-01  -0.838658E-02  -0.547758E-03  -0.155265E-02
   0.590250E+01   0.000000E+00  -0.565838E-02  -0.651097E-01  -0.182787E-01   0.307165E-02  -0.620995E-03   0.143701E-01  -0.877889E-02  -0.576141E-03  -0.162987E-02
   0.590500E+01   0.000000E+00  -0.197544E-02  -0.556411E-01  -0.173078E-01   0.274754E-02  -0.565323E-03   0.128620E-01  -0.809420E-02  -0.528587E-03  -0.151171E-02
   0.590750E+01   0.000000E+00   0.143190E-02  -0.412521E-01  -0.159459E-01   0.217493E-02  -0.449106E-03   0.101051E-01  -0.657093E-02  -0.422942E-03  -0.123902E-02
   0.591000E+01   0.000000E+00   0.351620E-02  -0.263327E-01  -0.143636E-01   0.152613E-02  -0.309770E-03   0.694246E-02  -0.469260E-02  -0.293621E-03  -0.897911E-03
   0.591250E+01   0.000000E+00   0.413187E-02  -0.141230E-01  -0.127353E-01   0.953320E-03  -0.182982E-03   0.413989E-02  -0.294466E-02  -0.174393E-03  -0.576140E-03
   0.591500E+01   0.000000E+00   0.381759E-02  -0.581559E-02  -0.111947E-01   0.535455E-03  -0.892709E-04   0.210991E-02  -0.162268E-02  -0.853727E-04  -0.328340E-03
   0.591750E+01   0.000000E+00   0.324287E-02  -0.978817E-03  -0.981408E-02   0.276517E-03  -0.319033E-04   0.886360E-03  -0.787921E-03  -0.304251E-04  -0.167430E-03
   0.592000E+01   0.000000E+00   0.280245E-02   0.146914E-02  -0.860258E-02   0.137427E-03  -0.314810E-05   0.274538E-03  -0.344597E-03  -0.270821E-05  -0.777601E-04
