 #the tildeD tensor -- Eq. 12 of TAS17
 # in units of [ dimensionless ] 
#                             |                                      symmetric part                                     ||              asymmetric part              |
   # EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.590000E+01   0.000000E+00   0.170829E-01   0.165894E-01  -0.129617E-01   0.132045E-03   0.555997E-04   0.195439E-04  -0.201103E-03   0.563371E-04  -0.276056E-04
   0.590250E+01   0.000000E+00   0.161848E-01   0.156758E-01  -0.126067E-01   0.128269E-03   0.508304E-04   0.227988E-04  -0.233898E-03   0.519964E-04  -0.272910E-04
   0.590500E+01   0.000000E+00   0.146005E-01   0.142241E-01  -0.121333E-01   0.119589E-03   0.467932E-04  -0.107174E-04  -0.237805E-03   0.480907E-04  -0.258644E-04
   0.590750E+01   0.000000E+00   0.125440E-01   0.124151E-01  -0.115597E-01   0.106844E-03   0.433241E-04  -0.653050E-04  -0.217917E-03   0.445003E-04  -0.234664E-04
   0.591000E+01   0.000000E+00   0.103184E-01   0.104850E-01  -0.109107E-01   0.922120E-04   0.399772E-04  -0.119582E-03  -0.184076E-03   0.408872E-04  -0.205509E-04
   0.591250E+01   0.000000E+00   0.822313E-02   0.866351E-02  -0.102113E-01   0.779333E-04   0.363063E-04  -0.155767E-03  -0.146453E-03   0.369220E-04  -0.176319E-04
   0.591500E+01   0.000000E+00   0.646877E-02   0.711345E-02  -0.948279E-02   0.653460E-04   0.320863E-04  -0.165990E-03  -0.112317E-03   0.324609E-04  -0.150517E-04
   0.591750E+01   0.000000E+00   0.513372E-02   0.589466E-02  -0.873700E-02   0.547061E-04   0.273688E-04  -0.152950E-03  -0.854774E-04   0.275855E-04  -0.129007E-04
   0.592000E+01   0.000000E+00   0.417753E-02   0.497041E-02  -0.797216E-02   0.456131E-04   0.224014E-04  -0.126085E-03  -0.674603E-04   0.225339E-04  -0.110839E-04
   0.592250E+01   0.000000E+00   0.349270E-02   0.424850E-02  -0.717408E-02   0.375551E-04   0.175072E-04  -0.962826E-04  -0.585417E-04   0.176025E-04  -0.944699E-05
   0.592500E+01   0.000000E+00   0.296274E-02   0.363189E-02  -0.632609E-02   0.302324E-04   0.129923E-04  -0.716632E-04  -0.576942E-04   0.130719E-04  -0.787745E-05
   0.592750E+01   0.000000E+00   0.250089E-02   0.305416E-02  -0.542350E-02   0.236027E-04   0.909403E-05  -0.556104E-04  -0.621064E-04   0.916364E-05  -0.634467E-05
   0.593000E+01   0.000000E+00   0.206256E-02   0.249023E-02  -0.448434E-02   0.177705E-04   0.595548E-05  -0.471104E-04  -0.674887E-04   0.601383E-05  -0.488842E-05
   0.593250E+01   0.000000E+00   0.163867E-02   0.194772E-02  -0.354933E-02   0.128549E-04   0.361408E-05  -0.426907E-04  -0.695458E-04   0.365926E-05  -0.358037E-05
   0.593500E+01   0.000000E+00   0.124132E-02   0.145013E-02  -0.267144E-02   0.890829E-05   0.200853E-05  -0.387906E-04  -0.657689E-04   0.204048E-05  -0.248393E-05
   0.593750E+01   0.000000E+00   0.889558E-03   0.102162E-02  -0.190070E-02   0.589502E-05   0.100599E-05  -0.334020E-04  -0.563185E-04   0.102659E-05  -0.162938E-05
   0.594000E+01   0.000000E+00   0.599095E-03   0.677412E-03  -0.127123E-02   0.370959E-05   0.442510E-06  -0.264167E-04  -0.434878E-04   0.454671E-06  -0.100939E-05
   0.594250E+01   0.000000E+00   0.376915E-03   0.420531E-03  -0.794868E-03   0.220774E-05   0.162208E-06  -0.189297E-04  -0.302699E-04   0.168815E-06  -0.589534E-06
